1,1992,1,1
2,2012,1,2
3,1920,1,3
4,1900,1,4
5,1988,2,5
6,1992,2,6
7,1994,2,7
8,1932,1,8
9,2002,2,9
10,1952,1,10
11,1980,2,11
12,2000,1,12
13,1996,1,13
14,1912,1,14
15,1924,1,4
16,2014,2,15
17,1948,1,2
18,1998,2,16
19,2006,2,17
20,2008,1,18
21,2016,1,19
22,2004,1,20
23,1960,2,21
24,1964,2,22
25,1984,2,23
26,1984,1,8
27,1968,1,24
28,1972,1,25
29,1988,1,26
30,1936,1,27
31,1952,2,28
32,1956,2,29
33,1956,1,30
34,1960,1,31
35,1928,1,32
36,1976,1,33
37,1980,1,34
38,1964,1,35
39,2010,2,36
40,1968,2,37
41,1906,1,20
42,1972,2,38
43,1976,2,22
44,1924,2,39
45,1904,1,40
46,1928,2,41
47,1908,1,2
48,1948,2,41
49,1932,2,11
50,1936,2,42
51,1896,1,20
52,1956,1,14
